374081692,amyA,Carbon Cycling,Carbon degradation,Starch,uncultured archaeon,superkingdom:Archaea;,527,146,,,155,405,,,,,,299
302348162,amyA,Carbon Cycling,Carbon degradation,Starch,Acidilobus saccharovorans 345-15,superkingdom:Archaea;phylum:Crenarchaeota;class:Thermoprotei;order:Acidilobales;family:Acidilobaceae;genus:Acidilobus;species:Acidilobus saccharovorans;,,,,,,,,12265,,2188,,
320100952,amyA,Carbon Cycling,Carbon degradation,Starch,Desulfurococcus mucosus DSM 2162,superkingdom:Archaea;phylum:Crenarchaeota;class:Thermoprotei;order:Desulfurococcales;family:Desulfurococcaceae;genus:Desulfurococcus;species:Desulfurococcus mucosus;,,522,380,,,,,1124,908,,,237
319752897,amyA,Carbon Cycling,Carbon degradation,Starch,Desulfurococcus mucosus DSM 2162,superkingdom:Archaea;phylum:Crenarchaeota;class:Thermoprotei;order:Desulfurococcales;family:Desulfurococcaceae;genus:Desulfurococcus;species:Desulfurococcus mucosus;,,,,,,,,,,,1148,
305664233,amyA,Carbon Cycling,Carbon degradation,Starch,Ignisphaera aggregans DSM 17230,superkingdom:Archaea;phylum:Crenarchaeota;class:Thermoprotei;order:Desulfurococcales;family:Desulfurococcaceae;genus:Ignisphaera;species:Ignisphaera aggregans;,431,,282,,,,,,,,,
389860881,amyA,Carbon Cycling,Carbon degradation,Starch,Thermogladius cellulolyticus 1633,superkingdom:Archaea;phylum:Crenarchaeota;class:Thermoprotei;order:Desulfurococcales;family:Desulfurococcaceae;genus:Thermogladius;species:Thermogladius cellulolyticus;,8721,5711,3496,22528,2218,4551,8970,7355,2613,1335,36880,749
296095218,amyA,Carbon Cycling,Carbon degradation,Starch,Thermosphaera aggregans DSM 11486,superkingdom:Archaea;phylum:Crenarchaeota;class:Thermoprotei;order:Desulfurococcales;family:Desulfurococcaceae;genus:Thermosphaera;species:Thermosphaera aggregans;,,,,,,,,,,543,,
332796713,amyA,Carbon Cycling,Carbon degradation,Starch,Acidianus hospitalis W1,superkingdom:Archaea;phylum:Crenarchaeota;class:Thermoprotei;order:Sulfolobales;family:Sulfolobaceae;genus:Acidianus;species:Acidianus hospitalis;,,,,,,,2335,,,,,
329567211,amyA,Carbon Cycling,Carbon degradation,Starch,Metallosphaera cuprina Ar-4,superkingdom:Archaea;phylum:Crenarchaeota;class:Thermoprotei;order:Sulfolobales;family:Sulfolobaceae;genus:Metallosphaera;species:Metallosphaera cuprina;,,,,,,,2061,,,,,
15621947,amyA,Carbon Cycling,Carbon degradation,Starch,Sulfolobus tokodaii str. 7,superkingdom:Archaea;phylum:Crenarchaeota;class:Thermoprotei;order:Sulfolobales;family:Sulfolobaceae;genus:Sulfolobus;species:Sulfolobus tokodaii;,,,,,,1099,,,,1187,,
119524173,amyA,Carbon Cycling,Carbon degradation,Starch,Thermofilum pendens Hrk 5,superkingdom:Archaea;phylum:Crenarchaeota;class:Thermoprotei;order:Thermoproteales;family:Thermofilaceae;genus:Thermofilum;species:Thermofilum pendens;,,,,,,1702,,,,,,239
119674858,amyA,Carbon Cycling,Carbon degradation,Starch,Pyrobaculum islandicum DSM 4184,superkingdom:Archaea;phylum:Crenarchaeota;class:Thermoprotei;order:Thermoproteales;family:Thermoproteaceae;genus:Pyrobaculum;species:Pyrobaculum islandicum;,588,98,357,470,222,889,,,,225,,
327311639,amyA,Carbon Cycling,Carbon degradation,Starch,Thermoproteus uzoniensis 768-20,superkingdom:Archaea;phylum:Crenarchaeota;class:Thermoprotei;order:Thermoproteales;family:Thermoproteaceae;genus:Thermoproteus;species:Thermoproteus uzoniensis;,7433,648,1865,3396,1786,3905,4135,2694,3350,882,2762,937
307596106,amyA,Carbon Cycling,Carbon degradation,Starch,Vulcanisaeta distributa DSM 14429,superkingdom:Archaea;phylum:Crenarchaeota;class:Thermoprotei;order:Thermoproteales;family:Thermoproteaceae;genus:Vulcanisaeta;species:Vulcanisaeta distributa;,1696,,1147,1191,4211,3133,1103,2473,,697,1131,4166
307596642,amyA,Carbon Cycling,Carbon degradation,Starch,Vulcanisaeta distributa DSM 14429,superkingdom:Archaea;phylum:Crenarchaeota;class:Thermoprotei;order:Thermoproteales;family:Thermoproteaceae;genus:Vulcanisaeta;species:Vulcanisaeta distributa;,633,,314,,,,,,568,,,
323707611,amyA,Carbon Cycling,Carbon degradation,Starch,Vulcanisaeta moutnovskia 768-28,superkingdom:Archaea;phylum:Crenarchaeota;class:Thermoprotei;order:Thermoproteales;family:Thermoproteaceae;genus:Vulcanisaeta;species:Vulcanisaeta moutnovskia;,6346,306,7183,1115,391,1091,2233,2500,1672,402,659,895
323707133,amyA,Carbon Cycling,Carbon degradation,Starch,Vulcanisaeta moutnovskia 768-28,superkingdom:Archaea;phylum:Crenarchaeota;class:Thermoprotei;order:Thermoproteales;family:Thermoproteaceae;genus:Vulcanisaeta;species:Vulcanisaeta moutnovskia;,514,193,,,183,,1098,2685,,,923,296
327316352,amyA,Carbon Cycling,Carbon degradation,Starch,Archaeoglobus veneficus SNP6,superkingdom:Archaea;phylum:Euryarchaeota;class:Archaeoglobi;order:Archaeoglobales;family:Archaeoglobaceae;genus:Archaeoglobus;species:Archaeoglobus veneficus;,2838,,,574,,582,8263,,,2862,,763
322369108,amyA,Carbon Cycling,Carbon degradation,Starch,Haladaptatus paucihalophilus DX253,superkingdom:Archaea;phylum:Euryarchaeota;class:Halobacteria;order:Halobacteriales;family:Halobacteriaceae;genus:Haladaptatus;species:Haladaptatus paucihalophilus;,,122,,,,,,,,,,
