Genbank ID,Gene name,Gene category,Sub-category1,Sub-category2,Organism,Lineage,#D43G21,D43G18,D43G16,D43G14,D43G13,D43G12,#D40G6,D40G4,D40G2,D40G31,D40G30,D40G29
258563478,silP,Metal Homeostasis,Silver,Transport,Uncinocarpus reesii 1704,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Eurotiomycetes;order:Onygenales;family:Onygenaceae;genus:Uncinocarpus;species:Uncinocarpus reesii;,849,,744,306,636,613,2563,1285,21333,1164,,1072
258571303,trk_fungi,Metal Homeostasis,Potassium,Transport,Uncinocarpus reesii 1704,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Eurotiomycetes;order:Onygenales;family:Onygenaceae;genus:Uncinocarpus;species:Uncinocarpus reesii;,3217,*,1713,399,401,1619,771,832,1129,1006,,1684
156053616,copA,Metal Homeostasis,Copper,Transport,Sclerotinia sclerotiorum 1980,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Leotiomycetes;order:Helotiales;family:Sclerotiniaceae;genus:Sclerotinia;species:Sclerotinia sclerotiorum;,p,p,p,,*p,,1271,1602,,11743,,10883
156048138,NiCoT,Metal Homeostasis,Nickel,Transport,Sclerotinia sclerotiorum 1980,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Leotiomycetes;order:Helotiales;family:Sclerotiniaceae;genus:Sclerotinia;species:Sclerotinia sclerotiorum;,p,,,,*p,,306,1351,,942,,812
156059368,sidA,Metal Homeostasis,iron,transport,Sclerotinia sclerotiorum 1980,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Leotiomycetes;order:Helotiales;family:Sclerotiniaceae;genus:Sclerotinia;species:Sclerotinia sclerotiorum;,2732,2404,232054,4912,3095,1764,4322,7120,1084,2389,4410,3636
296422763,silP,Metal Homeostasis,Silver,Transport,Tuber melanosporum Mel28,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Pezizomycetes;order:Pezizales;family:Tuberaceae;genus:Tuber;species:Tuber melanosporum;,1491,205,552,978,*,1232,272,1409,1093,1568,1430,2558
296410704,trk_fungi,Metal Homeostasis,Potassium,Transport,Tuber melanosporum Mel28,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Pezizomycetes;order:Pezizales;family:Tuberaceae;genus:Tuber;species:Tuber melanosporum;,1097,*,511,489,222,676,261,813,326,472,851,816
199434166,msc2,Metal Homeostasis,Zinc,Transport,Debaryomyces hansenii CBS767,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Saccharomycetes;order:Saccharomycetales;family:Debaryomycetaceae;genus:Debaryomyces;species:Debaryomyces hansenii;,4778,2337,3597,2111,1389,3704,1835,11582,970,6165,1959,3884
199433133,zrt1,Metal Homeostasis,Zinc,Transport,Debaryomyces hansenii CBS767,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Saccharomycetes;order:Saccharomycetales;family:Debaryomycetaceae;genus:Debaryomyces;species:Debaryomyces hansenii;,513,254,,330,,509,,,p,p,,
146412572,czcD,Metal Homeostasis,"Cadmium,Cobalt,Zinc",Transport,Pichia guilliermondii ATCC 6260,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Saccharomycetes;order:Saccharomycetales;family:Debaryomycetaceae;genus:Meyerozyma;species:Meyerozyma guilliermondii;,p,,p,,*p,p,,762,,1486,5984,1105
190345914,trk_fungi,Metal Homeostasis,Potassium,Transport,Meyerozyma guilliermondii ATCC 6260,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Saccharomycetes;order:Saccharomycetales;family:Debaryomycetaceae;genus:Meyerozyma;species:Meyerozyma guilliermondii;,3517,,43647,1141,946,6192,2301,3292,317,5590,17070,3510
359377317,zrt2,Metal Homeostasis,Zinc,Transport,Millerozyma farinosa CBS 7064,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Saccharomycetes;order:Saccharomycetales;family:Debaryomycetaceae;genus:Millerozyma;species:Millerozyma farinosa;,,,,p,,,213,,,586,2683,1827
49646143,ferroxidase_high_affinity,Metal Homeostasis,iron,Transport,Yarrowia lipolytica,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Saccharomycetes;order:Saccharomycetales;family:Dipodascaceae;genus:Yarrowia;,371,201,,7672,*,773,,,,,,
50551945,nhaP,Metal Homeostasis,Sodium,Transport,Yarrowia lipolytica,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Saccharomycetes;order:Saccharomycetales;family:Dipodascaceae;genus:Yarrowia;species:Yarrowia lipolytica;,721,*,647,6963,297,8335,312,738,376,1114,15835,4212
50547659,nhaP,Metal Homeostasis,Sodium,Transport,Yarrowia lipolytica,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Saccharomycetes;order:Saccharomycetales;family:Dipodascaceae;genus:Yarrowia;species:Yarrowia lipolytica;,1868,1092,1821,392,334,1021,2100,1613,1319,3496,10484,1956
50551191,siderophore_transporter,Metal Homeostasis,iron,transport,Yarrowia lipolytica,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Saccharomycetes;order:Saccharomycetales;family:Dipodascaceae;genus:Yarrowia;species:Yarrowia lipolytica;,p,,,,*p,p,309,,653,510,1842,
50547245,siderophore_transporter,Metal Homeostasis,iron,transport,Yarrowia lipolytica,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Saccharomycetes;order:Saccharomycetales;family:Dipodascaceae;genus:Yarrowia;species:Yarrowia lipolytica;,1444,,997,1382,327,660,1698,586,,2184,5136,1093
49646016,siderophore_transporter,Metal Homeostasis,iron,transport,Yarrowia lipolytica CLIB122,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Saccharomycetes;order:Saccharomycetales;family:Dipodascaceae;genus:Yarrowia;species:Yarrowia lipolytica;,3382,1409,3683,1293,1304,2824,3078,1973,945,9274,1634,3928
50549569,zrt1,Metal Homeostasis,Zinc,Transport,Yarrowia lipolytica,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Saccharomycetes;order:Saccharomycetales;family:Dipodascaceae;genus:Yarrowia;species:Yarrowia lipolytica;,630,237,1075,310,287,394,271,1291,278,1312,,941
49651326,zrt1,Metal Homeostasis,Zinc,Transport,Yarrowia lipolytica CLIB122,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Saccharomycetes;order:Saccharomycetales;family:Dipodascaceae;genus:Yarrowia;species:Yarrowia lipolytica;,p,,,,*p,p,418,,812,571,,714
260942175,arsA_fungi,Metal Homeostasis,Arsenic,Transport,Clavispora lusitaniae ATCC 42720,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Saccharomycetes;order:Saccharomycetales;family:Metschnikowiaceae;genus:Clavispora;species:Clavispora lusitaniae;,10807,166531,12446,14181,2927,28407,29343,8811,1208,33071,12295,7028
260942327,ferric_reductase_transporter,Metal Homeostasis,iron,Transport,Clavispora lusitaniae ATCC 42720,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Saccharomycetes;order:Saccharomycetales;family:Metschnikowiaceae;genus:Clavispora;species:Clavispora lusitaniae;,1298,239,897,543,319,912,205,956,1006,1602,851,2565
260951481,vacuolar_iron_transport,Metal Homeostasis,iron,Transport,Clavispora lusitaniae ATCC 42720,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Saccharomycetes;order:Saccharomycetales;family:Metschnikowiaceae;genus:Clavispora;species:Clavispora lusitaniae;,,,,p,*p,p,203,1636,,614,,1630
238942491,cot1,Metal Homeostasis,Zinc,Transport,Lachancea thermotolerans CBS 6340,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Saccharomycetes;order:Saccharomycetales;family:Saccharomycetaceae;genus:Lachancea;species:Lachancea thermotolerans;,p,,,p,*p,p,271,983,,716,6832,1320
255714549,ferric_reductase_transporter,Metal Homeostasis,iron,Transport,Lachancea thermotolerans,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Saccharomycetes;order:Saccharomycetales;family:Saccharomycetaceae;genus:Lachancea;species:Lachancea thermotolerans;,1485,,,6787,702,1104,383,,,500,11663,1793
255719366,ferric_reductase_transporter,Metal Homeostasis,iron,Transport,Lachancea thermotolerans,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Saccharomycetes;order:Saccharomycetales;family:Saccharomycetaceae;genus:Lachancea;species:Lachancea thermotolerans;,522,354,,9853,,1942,p,,,,,
255716550,msc2,Metal Homeostasis,Zinc,Transport,Lachancea thermotolerans,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Saccharomycetes;order:Saccharomycetales;family:Saccharomycetaceae;genus:Lachancea;species:Lachancea thermotolerans;,1402,484,10727,2832,318,783,817,739,308,543,,792
255716250,zrt3,Metal Homeostasis,Zinc,Transport,Lachancea thermotolerans,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Saccharomycetes;order:Saccharomycetales;family:Saccharomycetaceae;genus:Lachancea;species:Lachancea thermotolerans;,p,,,p,*p,p,365,2045,,496,,1866
365761468,msc2,Metal Homeostasis,Zinc,Transport,Saccharomyces cerevisiae x Saccharomyces kudriavzevii VIN7,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Saccharomycetes;order:Saccharomycetales;family:Saccharomycetaceae;genus:Saccharomyces;species:Saccharomyces cerevisiae x Saccharomyces kudriavzevii;,641,206,700,409,*,473,p,,p,,,p
387513388,atr1,Metal Homeostasis,Boron,Transport,Tetrapisispora blattae CBS 6284,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Saccharomycetes;order:Saccharomycetales;family:Saccharomycetaceae;genus:Tetrapisispora;species:Tetrapisispora blattae;,,,,p,p,p,428,,519,946,,1485
359750452,zrt3,Metal Homeostasis,Zinc,Transport,Torulaspora delbrueckii,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Saccharomycetes;order:Saccharomycetales;family:Saccharomycetaceae;genus:Torulaspora;,,,,p,p,p,303,,,1314,899,1020
68469355,arsA_fungi,Metal Homeostasis,Arsenic,Transport,Candida albicans SC5314,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Saccharomycetes;order:Saccharomycetales;genus:Candida;species:Candida albicans;,884,340,1807,1924,445,1803,575,1145,,899,2120,2259
46433267,Ca_vacuolar_exchanger,Metal Homeostasis,Calcium,Transport,Candida albicans SC5314,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Saccharomycetes;order:Saccharomycetales;genus:Candida;species:Candida albicans;,p,,p,,*p,p,239,1607,362,539,13201,765
223643023,nhaP,Metal Homeostasis,Sodium,Transport,Candida dubliniensis CD36,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Saccharomycetes;order:Saccharomycetales;genus:Candida;species:Candida dubliniensis;,376,,718,428,,1594,,557,527,550,3309,1774
241951956,siderophore_transporter,Metal Homeostasis,iron,transport,Candida dubliniensis CD36,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Saccharomycetes;order:Saccharomycetales;genus:Candida;species:Candida dubliniensis;,1045,13214,1198,4404,*,11159,290,572,2032,433,36024,89680
255722485,iron_permease_high_affinity,Metal Homeostasis,iron,Transport,Candida tropicalis MYA-3404,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Saccharomycetes;order:Saccharomycetales;genus:Candida;species:Candida tropicalis;,1978,,3462,626,978,1569,748,1050,604,1049,2411,1981
212003871,ferric_reductase_transporter,Metal Homeostasis,iron,Transport,Schizosaccharomyces japonicus yFS275,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Schizosaccharomycetes;order:Schizosaccharomycetales;family:Schizosaccharomycetaceae;genus:Schizosaccharomyces;species:Schizosaccharomyces japonicus;,731,281,605,,238,,362,594,,756,,1577
380493896,chaA,Metal Homeostasis,Calcium,Transport,Colletotrichum higginsianum,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Sordariomycetes;order:Glomerellales;family:Glomerellaceae;genus:Colletotrichum;,720,2099,1226,364,377,882,440,,2994,1647,1185,1050
380490795,NiCoT,Metal Homeostasis,Nickel,Transport,Colletotrichum higginsianum,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Sordariomycetes;order:Glomerellales;family:Glomerellaceae;genus:Colletotrichum;,4493,3356,2618,3471,1366,5793,2003,4152,1672,8216,7756,8706
380491412,silP,Metal Homeostasis,Silver,Transport,Colletotrichum higginsianum,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Sordariomycetes;order:Glomerellales;family:Glomerellaceae;genus:Colletotrichum;,471,1947,1079,,4146,615,1126,2417,360,963,1669,1117
